n_number,serial_number,mfr_mdl_code,mfr,model,model_family,is_production_model,year_mfr,type_registrant,state,region,country,last_action_date,cert_issue_date,airworth_date,type_aircraft,type_engine,status_code,fract_owner
33ET,10739,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2025,7,TX,2,US,20250808,20250808,20250627,4,1,V,
33HC,0815,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,1,FL,7,US,20230804,20220510,20040123,4,1,V,
33JG,5075,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2021,7,PA,1,US,20260504,20211215,20210818,4,1,V,
33KB,11263,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,7,FL,7,US,20260725,20260725,20260313,4,1,V,
33KX,2447,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,7,MO,3,US,20260710,20260710,20211123,4,1,V,
33MM,0387,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2022,7,VA,1,US,20230922,20221223,20220923,4,5,V,
33MW,2435,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,1,UT,S,US,20230324,20201001,20070329,4,1,V,
33PF,2572,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,SC,7,US,20230122,20200501,20070622,4,1,V,
33RJ,11430,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,8,MN,C,US,20260316,,20260527,4,1,M,
33SU,2368,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2017,5,UT,S,US,20231013,20200303,20170811,4,1,V,
33TV,2400,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,FL,7,US,20240731,20190129,20070308,4,1,V,
33WR,0586,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2013,7,PA,1,US,20230122,20170120,20130823,4,1,V,
33WS,4563,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2017,7,FL,7,US,20230510,20230510,20171122,4,1,V,
